game,date_season,winning_team,score,losing_team,venue,city
50,"February 7, 2016 ( 2015 )","Denver Broncos A (8, 3–5 )",24–10,"Carolina Panthers N (2, 0–2 )",Levi's Stadium,"Santa Clara, California (2)"
LI,"February 5, 2017 ( 2016 )","New England Patriots A (9, 5–4 )",34–28 ( OT ),"Atlanta Falcons N (2, 0–2 )",NRG Stadium (2),"Houston, Texas (3)"
LII,"February 4, 2018 ( 2017 )","Philadelphia Eagles N (3, 1–2 )",41–33,"New England Patriots A (10, 5–5 )",U.S. Bank Stadium,"Minneapolis, Minnesota (2)"
LIII,"February 3, 2019 ( 2018 )","New England Patriots A (11, 6–5 )",13–3,"Los Angeles Rams N (4, 1–3 )",Mercedes-Benz Stadium,"Atlanta, Georgia (3)"
LIV,"February 2, 2020 ( 2019 )","Kansas City Chiefs A (3, 2–1 )",31–20,"San Francisco 49ers N (7, 5–2 )",Hard Rock Stadium (6),"Miami Gardens, Florida (11)"
LV,"February 7, 2021 ( 2020 )","Tampa Bay Buccaneers N (2, 2–0 )",31–9,"Kansas City Chiefs A (4, 2–2 )",Raymond James Stadium (3),"Tampa, Florida (5)"
LVI,"February 13, 2022 ( 2021 )","Los Angeles Rams N (5, 2–3 )",23–20,"Cincinnati Bengals A (3, 0–3 )",SoFi Stadium,"Inglewood, California (8)"
LVII,"February 12, 2023 ( 2022 )","Kansas City Chiefs A (5, 3–2 )",38–35,"Philadelphia Eagles N (4, 1–3 )",State Farm Stadium (3),"Glendale, Arizona (4)"
LVIII,"February 11, 2024 ( 2023 )","Kansas City Chiefs A (6, 4–2 )",25–22 ( OT ),"San Francisco 49ers N (8, 5–3 )",Allegiant Stadium,"Paradise, Nevada"
LIX,"February 9, 2025 ( 2024 )","Philadelphia Eagles N (5, 2–3 )",40–22,"Kansas City Chiefs A (7, 4–3 )",Caesars Superdome (8),"New Orleans, Louisiana (11)"
